"","Chemical.class","Standard.match"
"C18-neg_Cluster_0515","Carboximidic acids and derivatives","palmitoylethanolamide"
"C18-neg_Cluster_0563","Carboximidic acids and derivatives","palmitoylethanolamide"
"C8-pos_Cluster_0168","Carboximidic acids and derivatives","palmitoylethanolamide"
"HILIC-pos_Cluster_0540","Amino acids, peptides, and analogues","pantothenate"
"HILIC-neg_Cluster_0552","Amino acids, peptides, and analogues","pantothete"
"HILIC-neg_Cluster_0697","Long-chain fatty acids","pentadecanoate"
"HILIC-neg_Cluster_0125",NA,"phenylacetate"
"HILIC-pos_Cluster_0248","Phenylalanine and derivatives","phenylalanine"
"HILIC-neg_Cluster_0242","Phenylpropanoic acids","phenylalanine"
"C18-neg_Cluster_0031","Phenylpropanoic acids","phenyllactate"
"C18-neg_Cluster_0019","Phenols","p-hydroxyphenylacetate"
"HILIC-pos_Cluster_1113","Organonitrogen compounds","phytosphingosine"
"HILIC-pos_Cluster_0081","L-alpha-amino acids","pipecolic acid"
"C8-pos_Cluster_0136",NA,"piperine"
"HILIC-pos_Cluster_0927",NA,"piperine"
"HILIC-pos_Cluster_0041","Amino acids, peptides, and analogues","proline"
"HILIC-neg_Cluster_0059","Amino acids, peptides, and analogues","proline"
"HILIC-pos_Cluster_0134","Proline and derivatives","proline betaine"
"HILIC-neg_Cluster_0003","Carboxylic acids","propionate"
"HILIC-neg_Cluster_0707","Nucleoside and nucleotide analogues","pseudouridine"
"HILIC-pos_Cluster_0007","Amines","putrescine"
"HILIC-pos_Cluster_0268","Pyridoxamines","pyridoxamine"
"HILIC-pos_Cluster_0184","Pyridoxamines","pyridoxamine"
"HILIC-neg_Cluster_0040","Benzenediols","pyrocatechol"
"HILIC-pos_Cluster_0079","Alpha amino acids and derivatives","pyroglutamic acid"
"HILIC-neg_Cluster_0192","Sugar alcohols","ribitol"
"HILIC-neg_Cluster_1300","Alloxazines and isoalloxazines","riboflavin"
"HILIC-neg_Cluster_0332","Benzothiazoles","saccharin"
"HILIC-neg_Cluster_0129","Benzoic acids and derivatives","salicylate"
"C18-neg_Cluster_0064","Fatty acids and conjugates","sebacate"
"HILIC-neg_Cluster_0441","Fatty acids and conjugates","sebacate"
"HILIC-pos_Cluster_0024","Amino acids, peptides, and analogues","serine"
"HILIC-neg_Cluster_0035","Amino acids, peptides, and analogues","serine"
"HILIC-neg_Cluster_0283",NA,"shikimate"
"HILIC-neg_Cluster_0331","Sugar alcohols","sorbitol"
"HILIC-pos_Cluster_1017","Organonitrogen compounds","sphinganine"
"C8-pos_Cluster_0166","Organonitrogen compounds","sphingosine"
"C8-pos_Cluster_0123","Organonitrogen compounds","sphingosine"
"C8-pos_Cluster_0253","Organonitrogen compounds","sphingosine"
"C8-pos_Cluster_0988","Organonitrogen compounds","sphingosine"
"C18-neg_Cluster_0256","Fatty acids and conjugates","stearic acid"
"C8-pos_Cluster_0277","Organonitrogen compounds","stearoyl ethanolamide"
"HILIC-neg_Cluster_0288",NA,"suberate"
"HILIC-neg_Cluster_0069","Dicarboxylic acids and derivatives","succite"
"HILIC-neg_Cluster_0174",NA,"tartarate"
"HILIC-pos_Cluster_0066","Organosulfonic acids and derivatives","taurine"
"HILIC-neg_Cluster_0085","Organosulfonic acids and derivatives","taurine"
"C18-neg_Cluster_1574","Bile acids, alcohols and derivatives","taurochenodesoxycholic acid"
"HILIC-neg_Cluster_1675",NA,"taurodeoxycholate/taurochenodeoxycholate*"
"C18-neg_Cluster_1575",NA,"taurodeoxycholic acid"
"C18-neg_Cluster_1576",NA,"taurohyodeoxycholate/ tauroursodeoxycholate"
"C18-neg_Cluster_1465",NA,"taurolithocholic acid"
"C18-neg_Cluster_0177","Long-chain fatty acids","tetradecanedioate"
"HILIC-pos_Cluster_0797","Pyrimidines and pyrimidine derivatives","thiamine"
"HILIC-pos_Cluster_0049","L-alpha-amino acids","threonine"
"HILIC-neg_Cluster_0073","L-alpha-amino acids","threonine"
"HILIC-pos_Cluster_0998",NA,"threosphingosine"
"HILIC-pos_Cluster_0906",NA,"threosphingosine"
"HILIC-neg_Cluster_0087","Diazines","thymine"
"HILIC-pos_Cluster_0172","Alkanolamines","triethanolamine"
"HILIC-pos_Cluster_0113",NA,"trigonelline"
"HILIC-pos_Cluster_0054",NA,"trimethylbenzene*"
"HILIC-pos_Cluster_0379","L-alpha-amino acids","trimethyllysine"
"HILIC-pos_Cluster_0455","Indoles and derivatives","tryptophan"
"HILIC-neg_Cluster_0452","Indoles and derivatives","tryptophan"
"HILIC-pos_Cluster_0333","Amino acids, peptides, and analogues","tyrosine"
"HILIC-neg_Cluster_0324","Amino acids, peptides, and analogues","tyrosine"
"C18-neg_Cluster_0079","Medium-chain fatty acids","undecanedionate"
"HILIC-neg_Cluster_0049","Pyrimidines and pyrimidine derivatives","uracil"
"HILIC-neg_Cluster_0254","Purines and purine derivatives","urate"
"HILIC-neg_Cluster_0706",NA,"uridine"
"C18-neg_Cluster_2021","Tetrapyrroles and derivatives","urobilin"
"HILIC-pos_Cluster_2093","Tetrapyrroles and derivatives","urobilin*"
"HILIC-pos_Cluster_0116","Imidazoles","urocanic acid"
"HILIC-pos_Cluster_0046","Amino acids, peptides, and analogues","valine"
"HILIC-neg_Cluster_0066","Amino acids, peptides, and analogues","valine"
"HILIC-neg_Cluster_0187","Imidazopyrimidines","xanthine"
"HILIC-neg_Cluster_0176","Pentoses","xylose"
"C18-neg_Cluster_1871","Monoalkylglycerophosphocholines",NA
"HILIC-pos_Cluster_0637","Purine 2',3'-dideoxyribonucleosides",NA
"HILIC-pos_Cluster_0340","Harmala alkaloids",NA
"C8-pos_Cluster_0124","Fatty amides",NA
"C8-pos_Cluster_1198",NA,NA
"C8-pos_Cluster_1310",NA,NA
"C18-neg_Cluster_2126","Monoalkylglycerophosphocholines",NA
"C18-neg_Cluster_0187","Xylenes",NA
"C18-neg_Cluster_0138",NA,NA
"C18-neg_Cluster_0610",NA,NA
"HILIC-neg_Cluster_0395",NA,NA
"C18-neg_Cluster_0006",NA,NA
"C18-neg_Cluster_0016",NA,NA
"C18-neg_Cluster_0024","Hexoses",NA
"C18-neg_Cluster_0030",NA,NA
"C18-neg_Cluster_0063","Medium-chain fatty acids",NA
"C18-neg_Cluster_0066","Cyclohexenones",NA
"C18-neg_Cluster_0069","Naphthalenes",NA
"C18-neg_Cluster_0087",NA,NA
"C18-neg_Cluster_0101","Lactones",NA
"C18-neg_Cluster_0102","Lactones",NA
"C18-neg_Cluster_0116",NA,NA
"C18-neg_Cluster_0128",NA,NA
"C18-neg_Cluster_0140","Dipeptides",NA
"C18-neg_Cluster_0145","Fatty alcohols",NA
"C18-neg_Cluster_0150","Peptidomimetics",NA
"C18-neg_Cluster_0172","Isoflavonoids",NA
"C18-neg_Cluster_0173","Isoflavonoids",NA
"C18-neg_Cluster_0180","Fatty alcohols",NA
"C18-neg_Cluster_0205","Phenolic glycosides",NA
"C18-neg_Cluster_0206","Benzazepines",NA
"C18-neg_Cluster_0207","Macrolides and analogues",NA
"C18-neg_Cluster_0208","Long-chain fatty acids",NA
"C18-neg_Cluster_0209","Long-chain fatty acids",NA
"C18-neg_Cluster_0216","Sesquiterpenoids",NA
"C18-neg_Cluster_0217","Sesquiterpenoids",NA
"C18-neg_Cluster_0226","Long-chain fatty acids",NA
"C18-neg_Cluster_0230","Harmala alkaloids",NA
"C18-neg_Cluster_0239","Keto acids and derivatives",NA
"C18-neg_Cluster_0248","Pyrans",NA
"C18-neg_Cluster_0254","Artemisinins",NA
"C18-neg_Cluster_0265",NA,NA
"C18-neg_Cluster_0266",NA,NA
"C18-neg_Cluster_0267","Monoterpenoids",NA
"C18-neg_Cluster_0275","Long-chain fatty acids",NA
"C18-neg_Cluster_0277","Long-chain fatty acids",NA
"C18-neg_Cluster_0283","Furopyrans",NA
"C18-neg_Cluster_0294","Fatty acids and conjugates",NA
"C18-neg_Cluster_0316","Long-chain fatty acids",NA
"C18-neg_Cluster_0331","Long-chain fatty acids",NA
"C18-neg_Cluster_0389","Furanoid lignans",NA
"C18-neg_Cluster_0390","Isoflavonoids",NA
"C18-neg_Cluster_0392",NA,NA
"C18-neg_Cluster_0396","Fatty acid esters",NA
"C18-neg_Cluster_0400","Acyclic diterpenoids",NA
"C18-neg_Cluster_0409","Long-chain fatty acids",NA
"C18-neg_Cluster_0413","Long-chain fatty acids",NA
"C18-neg_Cluster_0416","Long-chain fatty acids",NA
"C18-neg_Cluster_0432","Long-chain fatty alcohols",NA
"C18-neg_Cluster_0441",NA,NA
"C18-neg_Cluster_0468","Flavonoids",NA
"C18-neg_Cluster_0470","Lineolic acids and derivatives",NA
"C18-neg_Cluster_0471","Lineolic acids and derivatives",NA
"C18-neg_Cluster_0476","Fatty acid esters",NA
"C18-neg_Cluster_0480","Phenylbenzodioxanes",NA
"C18-neg_Cluster_0484","Phenylbenzodioxanes",NA
"C18-neg_Cluster_0491","Long-chain fatty acids",NA
"C18-neg_Cluster_0505","Long-chain fatty acids",NA
"C18-neg_Cluster_0510","Prostaglandins and related compounds",NA
"C18-neg_Cluster_0513",NA,NA
"C18-neg_Cluster_0520","Long-chain fatty acids",NA
"C18-neg_Cluster_0552","Acyl carnitines",NA
"C18-neg_Cluster_0555","Flavonoids",NA
"C18-neg_Cluster_0561","Long-chain fatty acids",NA
"C18-neg_Cluster_0566","Diterpenoids",NA
"C18-neg_Cluster_0567","Fatty acid esters",NA
"C18-neg_Cluster_0571",NA,NA
"C18-neg_Cluster_0573","Sesquiterpenoids",NA
"C18-neg_Cluster_0578","Amino acids, peptides, and analogues",NA
"C18-neg_Cluster_0581","Hydroxyeicosapentaenoic acids",NA
"C18-neg_Cluster_0595","Alkyl-phenylketones",NA
"C18-neg_Cluster_0603",NA,NA
"C18-neg_Cluster_0615","Very long-chain fatty acids",NA
"C18-neg_Cluster_0631","Coumarins and derivatives",NA
"C18-neg_Cluster_0655",NA,NA
"C18-neg_Cluster_0675",NA,NA
"C18-neg_Cluster_0685","Ketones",NA
"C18-neg_Cluster_0698","Phenylacetamides",NA
"C18-neg_Cluster_0706",NA,NA
"C18-neg_Cluster_0713",NA,NA
"C18-neg_Cluster_0714",NA,NA
"C18-neg_Cluster_0727",NA,NA
"C18-neg_Cluster_0762","Sesquiterpenoids",NA
"C18-neg_Cluster_0773","Sulfated steroids",NA
"C18-neg_Cluster_0796","Piperidines",NA
"C18-neg_Cluster_0802",NA,NA
"C18-neg_Cluster_0809","Stilbenes",NA
"C18-neg_Cluster_0813","Hydroxybenzoic acid derivatives",NA
"C18-neg_Cluster_0815","Hydroxybenzoic acid derivatives",NA
"C18-neg_Cluster_0837",NA,NA
"C18-neg_Cluster_0838",NA,NA
"C18-neg_Cluster_0848","Sulfated steroids",NA
"C18-neg_Cluster_0859","Indolines",NA
"C18-neg_Cluster_0864",NA,NA
"C18-neg_Cluster_0872",NA,NA
"C18-neg_Cluster_0873",NA,NA
"C18-neg_Cluster_0875",NA,NA
"C18-neg_Cluster_0904",NA,NA
"C18-neg_Cluster_0906",NA,NA
"C18-neg_Cluster_0956","Benzidines",NA
"C18-neg_Cluster_0958",NA,NA
"C18-neg_Cluster_0996",NA,NA
"C18-neg_Cluster_1011",NA,NA
"C18-neg_Cluster_1016","Acyl carnitines",NA
"C18-neg_Cluster_1031","Beta-diketones",NA
"C18-neg_Cluster_1036","Alpha amino acids",NA
"C18-neg_Cluster_1052","Alanine and derivatives",NA
"C18-neg_Cluster_1069","Eremophilane, 8,9-secoeremophilane and furoeremophilane sesquiterpenoids",NA
"C18-neg_Cluster_1090",NA,NA
"C18-neg_Cluster_1092",NA,NA
"C18-neg_Cluster_1102","Hydroxy acids and derivatives",NA
"C18-neg_Cluster_1105","Hydroxy acids and derivatives",NA
"C18-neg_Cluster_1118",NA,NA
"C18-neg_Cluster_1126","2-acyl-sn-glycero-3-phosphoethanolamines",NA
"C18-neg_Cluster_1130",NA,NA
"C18-neg_Cluster_1133",NA,NA
"C18-neg_Cluster_1143",NA,NA
"C18-neg_Cluster_1150","Ergostane steroids",NA
"C18-neg_Cluster_1169","Amino acids, peptides, and analogues",NA
"C18-neg_Cluster_1173",NA,NA
"C18-neg_Cluster_1211","Bile acids, alcohols and derivatives",NA
"C18-neg_Cluster_1215",NA,NA
"C18-neg_Cluster_1229",NA,NA
"C18-neg_Cluster_1239","Glycosyl compounds",NA
"C18-neg_Cluster_1240","5,10-cycloaromadendrane sesquiterpenoids",NA
"C18-neg_Cluster_1248",NA,NA
"C18-neg_Cluster_1260",NA,NA
"C18-neg_Cluster_1274","Triterpenoids",NA
"C18-neg_Cluster_1303","Stigmastanes and derivatives",NA
"C18-neg_Cluster_1307",NA,NA
"C18-neg_Cluster_1328","Cholesterols and derivatives",NA
"C18-neg_Cluster_1337",NA,NA
"C18-neg_Cluster_1339",NA,NA
"C18-neg_Cluster_1348",NA,NA
"C18-neg_Cluster_1350",NA,NA
"C18-neg_Cluster_1357","Fatty acyl glycosides of mono- and disaccharides",NA
"C18-neg_Cluster_1358","Fatty acyl glycosides of mono- and disaccharides",NA
"C18-neg_Cluster_1359","Fatty acyl glycosides of mono- and disaccharides",NA
"C18-neg_Cluster_1364","1-acylglycerol-3-phosphates",NA
"C18-neg_Cluster_1366","Oligopeptides",NA
"C18-neg_Cluster_1368","Triterpenoids",NA
"C18-neg_Cluster_1373",NA,NA
"C18-neg_Cluster_1374",NA,NA
"C18-neg_Cluster_1408","Tetrahydroxy bile acids, alcohols and derivatives",NA
"C18-neg_Cluster_1420","Brassinolides and derivatives",NA
"C18-neg_Cluster_1428","Hydroxy bile acids, alcohols and derivatives",NA
"C18-neg_Cluster_1431","Brassinolides and derivatives",NA
"C18-neg_Cluster_1440","1-acyl-sn-glycero-3-phosphoethanolamines",NA
"C18-neg_Cluster_1448",NA,NA
"C18-neg_Cluster_1453",NA,NA
"C18-neg_Cluster_1459",NA,NA
"C18-neg_Cluster_1460",NA,NA
"C18-neg_Cluster_1461","Tetrahydroxy bile acids, alcohols and derivatives",NA
"C18-neg_Cluster_1472",NA,NA
"C18-neg_Cluster_1500",NA,NA
"C18-neg_Cluster_1519",NA,NA
"C18-neg_Cluster_1520",NA,NA
"C18-neg_Cluster_1526","Brassinolides and derivatives",NA
"C18-neg_Cluster_1527","Brassinolides and derivatives",NA
"C18-neg_Cluster_1534",NA,NA
"C18-neg_Cluster_1551",NA,NA
"C18-neg_Cluster_1560",NA,NA
"C18-neg_Cluster_1567",NA,NA
"C18-neg_Cluster_1570",NA,NA
"C18-neg_Cluster_1582",NA,NA
"C18-neg_Cluster_1592","Triterpenoids",NA
"C18-neg_Cluster_1593","Triterpenoids",NA
"C18-neg_Cluster_1595","Triterpenoids",NA
"C18-neg_Cluster_1603","Triterpenoids",NA
"C18-neg_Cluster_1611",NA,NA
"C18-neg_Cluster_1618",NA,NA
"C18-neg_Cluster_1619",NA,NA
"C18-neg_Cluster_1624",NA,NA
"C18-neg_Cluster_1625",NA,NA
"C18-neg_Cluster_1646",NA,NA
"C18-neg_Cluster_1656",NA,NA
"C18-neg_Cluster_1659","Triterpenoids",NA
"C18-neg_Cluster_1662",NA,NA
"C18-neg_Cluster_1663",NA,NA
"C18-neg_Cluster_1668",NA,NA
"C18-neg_Cluster_1671","Phenylpropanes",NA
"C18-neg_Cluster_1706",NA,NA
"C18-neg_Cluster_1745",NA,NA
"C18-neg_Cluster_1760",NA,NA
"C18-neg_Cluster_1761",NA,NA
"C18-neg_Cluster_1766","Triterpenoids",NA
"C18-neg_Cluster_1768","1-acyl-sn-glycero-3-phosphocholines",NA
"C18-neg_Cluster_1776",NA,NA
"C18-neg_Cluster_1780",NA,NA
"C18-neg_Cluster_1785",NA,NA
"C18-neg_Cluster_1795",NA,NA
"C18-neg_Cluster_1796","1-(1Z-alkenyl)-glycero-3-phosphocholines",NA
"C18-neg_Cluster_1801",NA,NA
"C18-neg_Cluster_1805",NA,NA
"C18-neg_Cluster_1840","Long-chain fatty acids",NA
"C18-neg_Cluster_1854","4,6-disubstituted 2-deoxystreptamines",NA
"C18-neg_Cluster_1861","Steroidal glycosides",NA
"C18-neg_Cluster_1865",NA,NA
"C18-neg_Cluster_1872","Sphingolipids",NA
"C18-neg_Cluster_1899",NA,NA
"C18-neg_Cluster_1900",NA,NA
"C18-neg_Cluster_1912","Steroid esters",NA
"C18-neg_Cluster_1928","Terpene lactones",NA
"C18-neg_Cluster_1933",NA,NA
"C18-neg_Cluster_1944",NA,NA
"C18-neg_Cluster_1947","Steroidal saponins",NA
"C18-neg_Cluster_1957","1,3-diacylglycerols",NA
"C18-neg_Cluster_1962",NA,NA
"C18-neg_Cluster_1964",NA,NA
"C18-neg_Cluster_1969","1,3-diacylglycerols",NA
"C18-neg_Cluster_1970",NA,NA
"C18-neg_Cluster_1978","Oxosteroids",NA
"C18-neg_Cluster_1992","Tetrapyrroles and derivatives",NA
"C18-neg_Cluster_1993","Tetrapyrroles and derivatives",NA
"C18-neg_Cluster_1998","Coumarins and derivatives",NA
"C18-neg_Cluster_2002","Tetrapyrroles and derivatives",NA
"C18-neg_Cluster_2005","Tetrapyrroles and derivatives",NA
"C18-neg_Cluster_2019","Benzopyrans",NA
"C18-neg_Cluster_2020","Tetrapyrroles and derivatives",NA
"C18-neg_Cluster_2039",NA,NA
"C18-neg_Cluster_2052",NA,NA
"C18-neg_Cluster_2060",NA,NA
"C18-neg_Cluster_2064",NA,NA
"C18-neg_Cluster_2071",NA,NA
"C18-neg_Cluster_2075",NA,NA
"C18-neg_Cluster_2082",NA,NA
"C18-neg_Cluster_2084","Benzopyrans",NA
"C18-neg_Cluster_2090",NA,NA
"C18-neg_Cluster_2103",NA,NA
"C18-neg_Cluster_2119",NA,NA
"C18-neg_Cluster_2140",NA,NA
"C18-neg_Cluster_2154",NA,NA
"C8-pos_Cluster_0016","Thiazoles",NA
"C8-pos_Cluster_0018","Thiazoles",NA
"C8-pos_Cluster_0049",NA,NA
"C8-pos_Cluster_0050",NA,NA
"C8-pos_Cluster_0056",NA,NA
"C8-pos_Cluster_0058","Thiazoles",NA
"C8-pos_Cluster_0060",NA,NA
"C8-pos_Cluster_0065","Thiazoles",NA
"C8-pos_Cluster_0092","Ketones",NA
"C8-pos_Cluster_0129",NA,NA
"C8-pos_Cluster_0159","Lineolic acids and derivatives",NA
"C8-pos_Cluster_0167",NA,NA
"C8-pos_Cluster_0181","Androgens and derivatives",NA
"C8-pos_Cluster_0204","Long-chain fatty acids",NA
"C8-pos_Cluster_0217",NA,NA
"C8-pos_Cluster_0220",NA,NA
"C8-pos_Cluster_0234",NA,NA
"C8-pos_Cluster_0256",NA,NA
"C8-pos_Cluster_0258",NA,NA
"C8-pos_Cluster_0267",NA,NA
"C8-pos_Cluster_0285",NA,NA
"C8-pos_Cluster_0287","1-monoacylglycerols",NA
"C8-pos_Cluster_0289","Acyclic diterpenoids",NA
"C8-pos_Cluster_0297",NA,NA
"C8-pos_Cluster_0312",NA,NA
"C8-pos_Cluster_0344","Piperidines",NA
"C8-pos_Cluster_0346","Organonitrogen compounds",NA
"C8-pos_Cluster_0348","Organonitrogen compounds",NA
"C8-pos_Cluster_0363","Cholesteryl esters",NA
"C8-pos_Cluster_0370","Phenol ethers",NA
"C8-pos_Cluster_0372",NA,NA
"C8-pos_Cluster_0377","Very long-chain fatty acids",NA
"C8-pos_Cluster_0389","Alkyl-phenylketones",NA
"C8-pos_Cluster_0409",NA,NA
"C8-pos_Cluster_0426",NA,NA
"C8-pos_Cluster_0439",NA,NA
"C8-pos_Cluster_0453",NA,NA
"C8-pos_Cluster_0460","Long-chain fatty acids",NA
"C8-pos_Cluster_0489",NA,NA
"C8-pos_Cluster_0494",NA,NA
"C8-pos_Cluster_0498","Sphingolipids",NA
"C8-pos_Cluster_0518",NA,NA
"C8-pos_Cluster_0532","Solanidines and derivatives",NA
"C8-pos_Cluster_0549","Sesquiterpenoids",NA
"C8-pos_Cluster_0553",NA,NA
"C8-pos_Cluster_0591",NA,NA
"C8-pos_Cluster_0596","Sphingolipids",NA
"C8-pos_Cluster_0597",NA,NA
"C8-pos_Cluster_0638","Stigmastanes and derivatives",NA
"C8-pos_Cluster_0641",NA,NA
"C8-pos_Cluster_0642","Stigmastanes and derivatives",NA
"C8-pos_Cluster_0649","Cholesterols and derivatives",NA
"C8-pos_Cluster_0657",NA,NA
"C8-pos_Cluster_0668","Triterpenoids",NA
"C8-pos_Cluster_0693",NA,NA
"C8-pos_Cluster_0695","Kaurane diterpenoids",NA
"C8-pos_Cluster_0696","Kaurane diterpenoids",NA
"C8-pos_Cluster_0697","Tocotrienols",NA
"C8-pos_Cluster_0704",NA,NA
"C8-pos_Cluster_0711",NA,NA
"C8-pos_Cluster_0712","Stigmastanes and derivatives",NA
"C8-pos_Cluster_0721",NA,NA
"C8-pos_Cluster_0726","Dihydroxy bile acids, alcohols and derivatives",NA
"C8-pos_Cluster_0729",NA,NA
"C8-pos_Cluster_0733","Triterpenoids",NA
"C8-pos_Cluster_0734","Phosphatidylethanolamines",NA
"C8-pos_Cluster_0735","Very long-chain fatty acids",NA
"C8-pos_Cluster_0748",NA,NA
"C8-pos_Cluster_0756",NA,NA
"C8-pos_Cluster_0785",NA,NA
"C8-pos_Cluster_0791",NA,NA
"C8-pos_Cluster_0802",NA,NA
"C8-pos_Cluster_0810",NA,NA
"C8-pos_Cluster_0820","Triterpenoids",NA
"C8-pos_Cluster_0821","Triterpenoids",NA
"C8-pos_Cluster_0841","Menthane monoterpenoids",NA
"C8-pos_Cluster_0842","Triterpenoids",NA
"C8-pos_Cluster_0846","Triterpenoids",NA
"C8-pos_Cluster_0855",NA,NA
"C8-pos_Cluster_0863","Triterpenoids",NA
"C8-pos_Cluster_0867","Fatty acids and conjugates",NA
"C8-pos_Cluster_0877","Sesquiterpenoids",NA
"C8-pos_Cluster_0887",NA,NA
"C8-pos_Cluster_0907",NA,NA
"C8-pos_Cluster_0914",NA,NA
"C8-pos_Cluster_0943","Pyrrolidines",NA
"C8-pos_Cluster_0956",NA,NA
"C8-pos_Cluster_0959",NA,NA
"C8-pos_Cluster_0962",NA,NA
"C8-pos_Cluster_0980",NA,NA
"C8-pos_Cluster_0981","Fatty acid esters",NA
"C8-pos_Cluster_0986",NA,NA
"C8-pos_Cluster_1027",NA,NA
"C8-pos_Cluster_1031",NA,NA
"C8-pos_Cluster_1032",NA,NA
"C8-pos_Cluster_1033",NA,NA
"C8-pos_Cluster_1034","Annonaceous acetogenins",NA
"C8-pos_Cluster_1036",NA,NA
"C8-pos_Cluster_1041",NA,NA
"C8-pos_Cluster_1059","Sphingolipids",NA
"C8-pos_Cluster_1066","Long-chain fatty acids",NA
"C8-pos_Cluster_1076","Annonaceous acetogenins",NA
"C8-pos_Cluster_1085",NA,NA
"C8-pos_Cluster_1092",NA,NA
"C8-pos_Cluster_1094",NA,NA
"C8-pos_Cluster_1095",NA,NA
"C8-pos_Cluster_1106","Stigmastanes and derivatives",NA
"C8-pos_Cluster_1110",NA,NA
"C8-pos_Cluster_1121","1,3-diacylglycerols",NA
"C8-pos_Cluster_1122",NA,NA
"C8-pos_Cluster_1131",NA,NA
"C8-pos_Cluster_1148","Tetrapyrroles and derivatives",NA
"C8-pos_Cluster_1150","Long-chain fatty alcohols",NA
"C8-pos_Cluster_1154",NA,NA
"C8-pos_Cluster_1167","Cinnamic acids and derivatives",NA
"C8-pos_Cluster_1168","Cinnamic acids and derivatives",NA
"C8-pos_Cluster_1176",NA,NA
"C8-pos_Cluster_1182","Tetrapyrroles and derivatives",NA
"C8-pos_Cluster_1190",NA,NA
"C8-pos_Cluster_1200",NA,NA
"C8-pos_Cluster_1205","2-polyprenyl-6-methoxyphenols",NA
"C8-pos_Cluster_1211",NA,NA
"C8-pos_Cluster_1237",NA,NA
"C8-pos_Cluster_1239",NA,NA
"C8-pos_Cluster_1240",NA,NA
"C8-pos_Cluster_1243",NA,NA
"C8-pos_Cluster_1260","Alpha amino acids",NA
"C8-pos_Cluster_1261",NA,NA
"C8-pos_Cluster_1263",NA,NA
"C8-pos_Cluster_1265",NA,NA
"C8-pos_Cluster_1269",NA,NA
"C8-pos_Cluster_1270",NA,NA
"C8-pos_Cluster_1294",NA,NA
"C8-pos_Cluster_1295","Lineolic acids and derivatives",NA
"C8-pos_Cluster_1297",NA,NA
"C8-pos_Cluster_1298",NA,NA
"C8-pos_Cluster_1299",NA,NA
"C8-pos_Cluster_1309",NA,NA
"C8-pos_Cluster_1315",NA,NA
"C8-pos_Cluster_1317",NA,NA
"C8-pos_Cluster_1321",NA,NA
"C8-pos_Cluster_1337","1,3-diacylglycerols",NA
"C8-pos_Cluster_1338",NA,NA
"C8-pos_Cluster_1339",NA,NA
"C8-pos_Cluster_1350",NA,NA
"C8-pos_Cluster_1354","Other hydroxyeicosapolyenoic acids",NA
"C8-pos_Cluster_1357",NA,NA
"C8-pos_Cluster_1372",NA,NA
"C8-pos_Cluster_1385",NA,NA
"C8-pos_Cluster_1410",NA,NA
"C8-pos_Cluster_1411",NA,NA
"C8-pos_Cluster_1417",NA,NA
"C8-pos_Cluster_1418","Terpene glycosides",NA
"C8-pos_Cluster_1420",NA,NA
"C8-pos_Cluster_1446",NA,NA
"C8-pos_Cluster_1447",NA,NA
"C8-pos_Cluster_1450",NA,NA
"C8-pos_Cluster_1461","1,2-diacylglycerols",NA
"C8-pos_Cluster_1463","Cholesteryl esters",NA
"C8-pos_Cluster_1488","1,3-diacylglycerols",NA
"C8-pos_Cluster_1491",NA,NA
"C8-pos_Cluster_1496",NA,NA
"C8-pos_Cluster_1500",NA,NA
"C8-pos_Cluster_1511",NA,NA
"C8-pos_Cluster_1523",NA,NA
"C8-pos_Cluster_1530",NA,NA
"C8-pos_Cluster_1547",NA,NA
"C8-pos_Cluster_1551","1,3-diacylglycerols",NA
"C8-pos_Cluster_1557",NA,NA
"C8-pos_Cluster_1562",NA,NA
"C8-pos_Cluster_1563",NA,NA
"C8-pos_Cluster_1586",NA,NA
"C8-pos_Cluster_1587","1,3-diacylglycerols",NA
"C8-pos_Cluster_1594",NA,NA
"C8-pos_Cluster_1595",NA,NA
"C8-pos_Cluster_1628",NA,NA
"C8-pos_Cluster_1641",NA,NA
"C8-pos_Cluster_1668",NA,NA
"C8-pos_Cluster_1675",NA,NA
"C8-pos_Cluster_1682",NA,NA
"C8-pos_Cluster_1701","Sphingolipids",NA
"C8-pos_Cluster_1704",NA,NA
"C8-pos_Cluster_1719",NA,NA
"C8-pos_Cluster_1721",NA,NA
"C8-pos_Cluster_1732",NA,NA
"C8-pos_Cluster_1733",NA,NA
"C8-pos_Cluster_1734","Polyprenols",NA
"C8-pos_Cluster_1743",NA,NA
"C8-pos_Cluster_1757",NA,NA
"C8-pos_Cluster_1771","Phosphatidylcholines",NA
"C8-pos_Cluster_1772",NA,NA
"C8-pos_Cluster_1785",NA,NA
"C8-pos_Cluster_1793",NA,NA
